"date","close","volume","open","high","low"
"16:00","1,054.49","3,025,564","1,044.49","1,058.437","1,036.03"
"2019/06/04","1054.4900","3025564.0000","1044.4900","1058.4370","1036.0300"
"2019/06/03","1038.7400","4844480.0000","1066.9300","1067.0000","1027.0300"
"2019/05/31","1106.5000","1579481.0000","1105.6400","1113.4030","1103.3500"
"2019/05/30","1121.4100","904419.0000","1120.1500","1126.7950","1115.9000"
"2019/05/29","1119.9400","1811510.0000","1132.7000","1135.0000","1111.9500"
"2019/05/28","1139.5600","1047554.0000","1141.4800","1156.4900","1138.6700"
"2019/05/24","1138.6100","927651.0000","1152.0000","1154.3600","1136.7100"
"2019/05/23","1145.3400","1260657.0000","1146.0700","1150.0500","1133.1600"
"2019/05/22","1155.8500","941279.0000","1151.2500","1163.7800","1151.0000"
"2019/05/21","1154.4400","1028248.0000","1154.4800","1158.0000","1143.3100"
"2019/05/20","1144.6600","1530126.0000","1153.0000","1153.0000","1138.1350"
"2019/05/17","1168.7800","1268050.0000","1175.8300","1186.2900","1166.4200"
"2019/05/16","1184.5000","1765388.0000","1171.8400","1194.1600","1168.4500"
"2019/05/15","1170.8000","2965117.0000","1122.5500","1178.3000","1121.4000"
"2019/05/14","1124.8600","2019550.0000","1142.3200","1144.8650","1123.5300"
"2019/05/13","1136.5900","2281686.0000","1145.2400","1151.9700","1125.5000"
"2019/05/10","1167.6400","1582460.0000","1168.8400","1176.2800","1146.3700"
"2019/05/09","1167.9700","1477752.0000","1162.6000","1174.0700","1154.6400"
"2019/05/08","1170.7800","1276022.0000","1177.2900","1184.2700","1167.6300"
"2019/05/07","1178.8600","1830238.0000","1185.8100","1194.7700","1165.0000"
"2019/05/06","1193.4600","1588684.0000","1172.0000","1195.4300","1171.1550"
"2019/05/03","1189.5500","2079376.0000","1177.4100","1191.4000","1173.5450"
"2019/05/02","1166.5100","2254890.0000","1172.6000","1179.3800","1158.3300"
"2019/05/01","1173.3200","3717018.0000","1197.5000","1199.2500","1171.6750"
"2019/04/30","1198.9600","6617277.0000","1190.6300","1200.9777","1183.0000"
"2019/04/29","1296.2000","3486293.0000","1280.5100","1296.9750","1271.7100"
"2019/04/26","1277.4200","1357955.0000","1273.3800","1278.9100","1265.0000"
"2019/04/25","1267.3400","1562312.0000","1270.3000","1272.8000","1258.0000"
"2019/04/24","1260.0500","1137058.0000","1270.5900","1274.0000","1259.8100"
"2019/04/23","1270.5900","1579762.0000","1256.6400","1274.4300","1251.9750"
"2019/04/22","1253.7600","954127.0000","1236.6700","1254.3405","1233.3700"
"2019/04/18","1241.4700","1237414.0000","1245.0000","1245.9400","1239.4100"
"2019/04/17","1240.1400","1471226.0000","1237.0000","1245.0950","1232.9000"
"2019/04/16","1231.9100","1127971.0000","1230.0000","1235.9800","1225.0400"
"2019/04/15","1226.5300","1189784.0000","1224.0900","1229.2950","1214.5600"
"2019/04/12","1222.7300","1213578.0000","1215.6200","1223.0500","1213.2900"
"2019/04/11","1209.5900","849233.0000","1208.9000","1212.7400","1204.5400"
"2019/04/10","1206.4500","774664.0000","1205.0900","1208.9377","1200.6609"
"2019/04/09","1202.6900","983145.0000","1201.8900","1207.1500","1198.3800"
"2019/04/08","1208.2800","1087408.0000","1211.1100","1213.9500","1204.6950"
"2019/04/05","1211.4500","999776.0000","1219.3000","1220.3900","1210.0300"
"2019/04/04","1219.4500","1048813.0000","1211.2900","1220.5500","1209.0400"
"2019/04/03","1210.8100","1108905.0000","1212.7000","1220.6000","1205.0750"
"2019/04/02","1205.5400","913849.0000","1200.0500","1205.8100","1191.2400"
"2019/04/01","1198.9800","1354165.0000","1187.5400","1200.2000","1186.3600"
"2019/03/29","1176.8900","1544128.0000","1180.1800","1183.9700","1166.3800"
"2019/03/28","1172.2700","1119752.0000","1175.5000","1177.2500","1163.4300"
"2019/03/27","1178.0100","1470987.0000","1191.9200","1191.9200","1164.2300"
"2019/03/26","1189.8400","1531974.0000","1205.1900","1207.6500","1181.7600"
"2019/03/25","1197.3800","1377864.0000","1199.5600","1209.4400","1190.0034"
"2019/03/22","1207.6500","1720113.0000","1228.8500","1233.6300","1206.0001"
"2019/03/21","1236.1300","1404942.0000","1220.0000","1236.4400","1216.5750"
"2019/03/20","1226.4300","2017990.0000","1201.4000","1229.9900","1199.5900"
"2019/03/19","1202.4600","1480494.0000","1191.7200","1203.4050","1189.4564"
"2019/03/18","1188.5500","1221851.0000","1189.6900","1194.9500","1181.4762"
"2019/03/15","1190.3000","2591771.0000","1198.0000","1201.7250","1187.0100"
"2019/03/14","1192.5300","1364256.0000","1199.0200","1204.7000","1191.2300"
"2019/03/13","1199.0600","1270999.0000","1205.9300","1207.1234","1197.9100"
"2019/03/12","1197.2500","2109593.0000","1182.3000","1205.7100","1182.3000"
"2019/03/11","1179.2600","1497677.0000","1152.0000","1179.9100","1151.5700"
"2019/03/08","1149.9700","1183701.0000","1133.9000","1153.4504","1130.2000"
"2019/03/07","1150.8500","1503498.0000","1160.5000","1163.5800","1141.7150"
"2019/03/06","1164.9400","1176422.0000","1171.7600","1174.7400","1163.0500"
"2019/03/05","1169.1900","1982873.0000","1156.0000","1176.4899","1153.0200"
"2019/03/04","1153.4200","1771198.0000","1154.5600","1165.5200","1138.2500"
