"date","close","volume","open","high","low"
"16:00","179.64","30,967,861","175.43","179.83","174.52"
"2019/06/04","179.6400","30967960.0000","175.4400","179.8300","174.5200"
"2019/06/03","173.3000","40396070.0000","175.6000","177.9200","170.2700"
"2019/05/31","175.0700","27043580.0000","176.2300","177.9900","174.9900"
"2019/05/30","178.3000","21218410.0000","177.9500","179.2300","176.6700"
"2019/05/29","177.3800","28481170.0000","176.4200","179.3500","176.0000"
"2019/05/28","178.2300","27948160.0000","178.9200","180.5900","177.9100"
"2019/05/24","178.9700","23714690.0000","180.2000","182.1400","178.6200"
"2019/05/23","179.6600","36529740.0000","179.8000","180.5400","177.8100"
"2019/05/22","182.7800","29748560.0000","184.6600","185.7100","182.5500"
"2019/05/21","186.6000","28364850.0000","185.2200","188.0000","184.7000"
"2019/05/20","183.0900","38612290.0000","183.5200","184.3490","180.2840"
"2019/05/17","189.0000","32879090.0000","186.9300","190.9000","186.7600"
"2019/05/16","190.0800","33031360.0000","189.9100","192.4690","188.8400"
"2019/05/15","190.9200","26544720.0000","186.2700","191.7500","186.0200"
"2019/05/14","188.6600","36529680.0000","186.4100","189.7000","185.4100"
"2019/05/13","185.7200","57430620.0000","187.7100","189.4800","182.8500"
"2019/05/10","197.1800","41208710.0000","197.4190","198.8500","192.7700"
"2019/05/09","200.7200","34908610.0000","200.4000","201.6800","196.6600"
"2019/05/08","202.9000","26339500.0000","201.9000","205.3400","201.7500"
"2019/05/07","202.8600","38763700.0000","205.8800","207.4180","200.8250"
"2019/05/06","208.4800","32443110.0000","204.2900","208.8400","203.5000"
