"date","close","volume","open","high","low"
"16:00","280.53","76,053,037","277.12","280.68","276.62"
"2019/06/04","280.5300","77231890.0000","277.1200","280.6800","276.6200"
"2019/06/03","274.5700","96427950.0000","275.3100","276.5520","273.0900"
"2019/05/31","275.2700","86862780.0000","276.2000","277.1200","275.2400"
"2019/05/30","279.0300","62523780.0000","279.1100","280.0400","277.8050"
"2019/05/29","278.2700","104972900.0000","278.9100","279.3600","276.7100"
"2019/05/28","280.1500","70029360.0000","283.0900","284.1500","280.1300"
"2019/05/24","282.7800","55268100.0000","283.7400","284.2000","282.0900"
"2019/05/23","282.1400","98733850.0000","283.1600","283.2100","280.5700"
"2019/05/22","285.6300","49482470.0000","285.4500","286.6900","285.1000"
"2019/05/21","286.5100","46847090.0000","285.8300","286.9300","285.5500"
"2019/05/20","283.9500","62877610.0000","284.0600","285.4300","283.1200"
"2019/05/17","285.8400","100353000.0000","285.1400","288.6000","285.1210"
"2019/05/16","287.7000","76749640.0000","285.8400","289.2100","285.7600"
"2019/05/15","285.0600","73956410.0000","281.5900","285.7700","281.3600"
"2019/05/14","283.4000","77003230.0000","281.9900","285.1000","281.8500"
"2019/05/13","280.8600","127290500.0000","282.4200","283.4900","279.9300"
"2019/05/10","288.1000","112429300.0000","285.6200","288.9400","282.3000"
"2019/05/09","286.6600","103471100.0000","285.2300","287.3300","283.3000"
"2019/05/08","287.5300","91568290.0000","287.5300","289.4300","286.8700"
"2019/05/07","287.9300","144729900.0000","290.1500","290.8100","285.8100"
"2019/05/06","292.8200","107198100.0000","289.2500","293.3100","288.9000"
